(base) % python dtree.py satellite_training.txt satellite_test.txt optimized
Object Index = 0, Result = 3, True Class = 3, Accuracy = 1
Object Index = 1, Result = 3, True Class = 3, Accuracy = 1
Object Index = 2, Result = 4, True Class = 4, Accuracy = 1
Object Index = 3, Result = 4, True Class = 4, Accuracy = 1
Object Index = 4, Result = 4, True Class = 4, Accuracy = 1
Object Index = 5, Result = 4, True Class = 4, Accuracy = 1
Object Index = 6, Result = 4, True Class = 4, Accuracy = 1
Object Index = 7, Result = 4, True Class = 4, Accuracy = 1
Object Index = 8, Result = 4, True Class = 4, Accuracy = 1
Object Index = 9, Result = 4, True Class = 4, Accuracy = 1
Object Index = 10, Result = 4, True Class = 4, Accuracy = 1
Object Index = 11, Result = 7, True Class = 4, Accuracy = 0
Object Index = 12, Result = 7, True Class = 4, Accuracy = 0
Object Index = 13, Result = 7, True Class = 4, Accuracy = 0
Object Index = 14, Result = 3, True Class = 3, Accuracy = 1
Object Index = 15, Result = 3, True Class = 3, Accuracy = 1
Object Index = 16, Result = 3, True Class = 3, Accuracy = 1
Object Index = 17, Result = 3, True Class = 3, Accuracy = 1
Object Index = 18, Result = 3, True Class = 3, Accuracy = 1
Object Index = 19, Result = 3, True Class = 3, Accuracy = 1
Object Index = 20, Result = 3, True Class = 3, Accuracy = 1
Object Index = 21, Result = 3, True Class = 3, Accuracy = 1
Object Index = 22, Result = 3, True Class = 3, Accuracy = 1
Object Index = 23, Result = 3, True Class = 3, Accuracy = 1
Object Index = 24, Result = 3, True Class = 3, Accuracy = 1
Object Index = 25, Result = 3, True Class = 3, Accuracy = 1
Object Index = 26, Result = 4, True Class = 3, Accuracy = 0
Object Index = 27, Result = 5, True Class = 5, Accuracy = 1
Object Index = 28, Result = 7, True Class = 7, Accuracy = 1
Object Index = 29, Result = 7, True Class = 7, Accuracy = 1
Object Index = 30, Result = 7, True Class = 7, Accuracy = 1
Object Index = 31, Result = 5, True Class = 5, Accuracy = 1
Object Index = 32, Result = 3, True Class = 3, Accuracy = 1
Object Index = 33, Result = 3, True Class = 3, Accuracy = 1
Object Index = 34, Result = 4, True Class = 4, Accuracy = 1
Object Index = 35, Result = 4, True Class = 4, Accuracy = 1
Object Index = 36, Result = 4, True Class = 4, Accuracy = 1
Object Index = 37, Result = 4, True Class = 4, Accuracy = 1
Object Index = 38, Result = 4, True Class = 4, Accuracy = 1
Object Index = 39, Result = 4, True Class = 4, Accuracy = 1
Object Index = 40, Result = 7, True Class = 4, Accuracy = 0
Object Index = 41, Result = 4, True Class = 4, Accuracy = 1
Object Index = 42, Result = 3, True Class = 3, Accuracy = 1
Object Index = 43, Result = 3, True Class = 3, Accuracy = 1
Object Index = 44, Result = 3, True Class = 3, Accuracy = 1
Object Index = 45, Result = 3, True Class = 3, Accuracy = 1
Object Index = 46, Result = 3, True Class = 3, Accuracy = 1
Object Index = 47, Result = 3, True Class = 3, Accuracy = 1
Object Index = 48, Result = 3, True Class = 3, Accuracy = 1
Object Index = 49, Result = 3, True Class = 3, Accuracy = 1
Object Index = 50, Result = 3, True Class = 3, Accuracy = 1
Object Index = 51, Result = 4, True Class = 3, Accuracy = 0
Object Index = 52, Result = 4, True Class = 3, Accuracy = 0
Object Index = 53, Result = 3, True Class = 5, Accuracy = 0
Object Index = 54, Result = 4, True Class = 5, Accuracy = 0
Object Index = 55, Result = 3, True Class = 3, Accuracy = 1
Object Index = 56, Result = 4, True Class = 7, Accuracy = 0
Object Index = 57, Result = 7, True Class = 7, Accuracy = 1
Object Index = 58, Result = 7, True Class = 7, Accuracy = 1
Object Index = 59, Result = 3, True Class = 3, Accuracy = 1
Object Index = 60, Result = 4, True Class = 3, Accuracy = 0
Object Index = 61, Result = 4, True Class = 3, Accuracy = 0
Object Index = 62, Result = 4, True Class = 4, Accuracy = 1
Object Index = 63, Result = 4, True Class = 4, Accuracy = 1
Object Index = 64, Result = 4, True Class = 4, Accuracy = 1
Object Index = 65, Result = 4, True Class = 4, Accuracy = 1
Object Index = 66, Result = 4, True Class = 4, Accuracy = 1
Object Index = 67, Result = 4, True Class = 4, Accuracy = 1
Object Index = 68, Result = 7, True Class = 4, Accuracy = 0
Object Index = 69, Result = 7, True Class = 4, Accuracy = 0
Object Index = 70, Result = 4, True Class = 4, Accuracy = 1
Object Index = 71, Result = 2, True Class = 2, Accuracy = 1
Object Index = 72, Result = 3, True Class = 3, Accuracy = 1
Object Index = 73, Result = 3, True Class = 3, Accuracy = 1
Object Index = 74, Result = 3, True Class = 3, Accuracy = 1
Object Index = 75, Result = 3, True Class = 3, Accuracy = 1
Object Index = 76, Result = 4, True Class = 3, Accuracy = 0
Object Index = 77, Result = 3, True Class = 3, Accuracy = 1
Object Index = 78, Result = 4, True Class = 3, Accuracy = 0
Object Index = 79, Result = 7, True Class = 7, Accuracy = 1
Object Index = 80, Result = 7, True Class = 7, Accuracy = 1
Object Index = 81, Result = 3, True Class = 3, Accuracy = 1
Object Index = 82, Result = 3, True Class = 3, Accuracy = 1
Object Index = 83, Result = 3, True Class = 3, Accuracy = 1
Object Index = 84, Result = 3, True Class = 4, Accuracy = 0
Object Index = 85, Result = 4, True Class = 4, Accuracy = 1
Object Index = 86, Result = 4, True Class = 4, Accuracy = 1
Object Index = 87, Result = 7, True Class = 4, Accuracy = 0
Object Index = 88, Result = 4, True Class = 4, Accuracy = 1
Object Index = 89, Result = 2, True Class = 2, Accuracy = 1
Object Index = 90, Result = 5, True Class = 2, Accuracy = 0
Object Index = 91, Result = 2, True Class = 2, Accuracy = 1
Object Index = 92, Result = 3, True Class = 3, Accuracy = 1
Object Index = 93, Result = 3, True Class = 3, Accuracy = 1
Object Index = 94, Result = 3, True Class = 3, Accuracy = 1
Object Index = 95, Result = 3, True Class = 3, Accuracy = 1
Object Index = 96, Result = 4, True Class = 3, Accuracy = 0
Object Index = 97, Result = 3, True Class = 3, Accuracy = 1
Object Index = 98, Result = 3, True Class = 3, Accuracy = 1
Object Index = 99, Result = 3, True Class = 3, Accuracy = 1
Object Index = 100, Result = 4, True Class = 3, Accuracy = 0
Object Index = 101, Result = 3, True Class = 3, Accuracy = 1
Object Index = 102, Result = 3, True Class = 3, Accuracy = 1
Object Index = 103, Result = 3, True Class = 3, Accuracy = 1
Object Index = 104, Result = 4, True Class = 3, Accuracy = 0
Object Index = 105, Result = 4, True Class = 3, Accuracy = 0
Object Index = 106, Result = 3, True Class = 3, Accuracy = 1
Object Index = 107, Result = 3, True Class = 3, Accuracy = 1
Object Index = 108, Result = 7, True Class = 7, Accuracy = 1
Object Index = 109, Result = 3, True Class = 3, Accuracy = 1
Object Index = 110, Result = 4, True Class = 4, Accuracy = 1
Object Index = 111, Result = 4, True Class = 4, Accuracy = 1
Object Index = 112, Result = 2, True Class = 2, Accuracy = 1
Object Index = 113, Result = 2, True Class = 2, Accuracy = 1
Object Index = 114, Result = 2, True Class = 2, Accuracy = 1
