(base) % python dtree.py pendigits_training.txt pendigits_test.txt randomized
Object Index = 0, Result = 8, True Class = 8, Accuracy = 1
Object Index = 1, Result = 8, True Class = 8, Accuracy = 1
Object Index = 2, Result = 8, True Class = 8, Accuracy = 1
Object Index = 3, Result = 9, True Class = 9, Accuracy = 1
Object Index = 4, Result = 9, True Class = 9, Accuracy = 1
Object Index = 5, Result = 1, True Class = 1, Accuracy = 1
Object Index = 6, Result = 4, True Class = 4, Accuracy = 1
Object Index = 7, Result = 7, True Class = 7, Accuracy = 1
Object Index = 8, Result = 9, True Class = 9, Accuracy = 1
Object Index = 9, Result = 9, True Class = 9, Accuracy = 1
Object Index = 10, Result = 9, True Class = 9, Accuracy = 1
Object Index = 11, Result = 0, True Class = 0, Accuracy = 1
Object Index = 12, Result = 2, True Class = 2, Accuracy = 1
Object Index = 13, Result = 0, True Class = 0, Accuracy = 1
Object Index = 14, Result = 5, True Class = 5, Accuracy = 1
Object Index = 15, Result = 9, True Class = 9, Accuracy = 1
Object Index = 16, Result = 3, True Class = 3, Accuracy = 1
Object Index = 17, Result = 1, True Class = 7, Accuracy = 0
Object Index = 18, Result = 0, True Class = 0, Accuracy = 1
Object Index = 19, Result = 4, True Class = 4, Accuracy = 1
Object Index = 20, Result = 6, True Class = 6, Accuracy = 1
Object Index = 21, Result = 8, True Class = 8, Accuracy = 1
Object Index = 22, Result = 7, True Class = 7, Accuracy = 1
Object Index = 23, Result = 6, True Class = 6, Accuracy = 1
Object Index = 24, Result = 6, True Class = 6, Accuracy = 1
Object Index = 25, Result = 0, True Class = 0, Accuracy = 1
Object Index = 26, Result = 4, True Class = 4, Accuracy = 1
Object Index = 27, Result = 0, True Class = 0, Accuracy = 1
Object Index = 28, Result = 4, True Class = 4, Accuracy = 1
Object Index = 29, Result = 1, True Class = 1, Accuracy = 1
Object Index = 30, Result = 9, True Class = 9, Accuracy = 1
Object Index = 31, Result = 3, True Class = 3, Accuracy = 1
Object Index = 32, Result = 5, True Class = 5, Accuracy = 1
Object Index = 33, Result = 4, True Class = 4, Accuracy = 1
Object Index = 34, Result = 4, True Class = 4, Accuracy = 1
Object Index = 35, Result = 1, True Class = 1, Accuracy = 1
Object Index = 36, Result = 2, True Class = 1, Accuracy = 0
Object Index = 37, Result = 0, True Class = 0, Accuracy = 1
Object Index = 38, Result = 9, True Class = 9, Accuracy = 1
Object Index = 39, Result = 7, True Class = 7, Accuracy = 1
Object Index = 40, Result = 8, True Class = 8, Accuracy = 1
Object Index = 41, Result = 9, True Class = 3, Accuracy = 0
Object Index = 42, Result = 8, True Class = 5, Accuracy = 0
Object Index = 43, Result = 6, True Class = 6, Accuracy = 1
Object Index = 44, Result = 0, True Class = 0, Accuracy = 1
Object Index = 45, Result = 8, True Class = 8, Accuracy = 1
Object Index = 46, Result = 2, True Class = 2, Accuracy = 1
Object Index = 47, Result = 8, True Class = 8, Accuracy = 1
Object Index = 48, Result = 7, True Class = 7, Accuracy = 1
Object Index = 49, Result = 8, True Class = 8, Accuracy = 1
Object Index = 50, Result = 1, True Class = 1, Accuracy = 1
Object Index = 51, Result = 9, True Class = 9, Accuracy = 1
Object Index = 52, Result = 5, True Class = 5, Accuracy = 1
Object Index = 53, Result = 4, True Class = 4, Accuracy = 1
Object Index = 54, Result = 1, True Class = 1, Accuracy = 1
Object Index = 55, Result = 2, True Class = 2, Accuracy = 1
Object Index = 56, Result = 1, True Class = 1, Accuracy = 1
Object Index = 57, Result = 6, True Class = 6, Accuracy = 1
Object Index = 58, Result = 0, True Class = 0, Accuracy = 1
Object Index = 59, Result = 8, True Class = 8, Accuracy = 1
Object Index = 60, Result = 0, True Class = 0, Accuracy = 1
Object Index = 61, Result = 8, True Class = 8, Accuracy = 1
Object Index = 62, Result = 6, True Class = 6, Accuracy = 1
Object Index = 63, Result = 2, True Class = 2, Accuracy = 1
Object Index = 64, Result = 9, True Class = 9, Accuracy = 1
Object Index = 65, Result = 9, True Class = 9, Accuracy = 1
Object Index = 66, Result = 8, True Class = 8, Accuracy = 1
Object Index = 67, Result = 0, True Class = 0, Accuracy = 1
Object Index = 68, Result = 3, True Class = 3, Accuracy = 1
Object Index = 69, Result = 3, True Class = 3, Accuracy = 1
Object Index = 70, Result = 8, True Class = 8, Accuracy = 1
Object Index = 71, Result = 3, True Class = 3, Accuracy = 1
Object Index = 72, Result = 2, True Class = 1, Accuracy = 0
Object Index = 73, Result = 1, True Class = 1, Accuracy = 1
Object Index = 74, Result = 3, True Class = 3, Accuracy = 1
Object Index = 75, Result = 9, True Class = 9, Accuracy = 1
Object Index = 76, Result = 5, True Class = 5, Accuracy = 1
Object Index = 77, Result = 8, True Class = 8, Accuracy = 1
Object Index = 78, Result = 0, True Class = 0, Accuracy = 1
Object Index = 79, Result = 8, True Class = 8, Accuracy = 1
Object Index = 80, Result = 0, True Class = 0, Accuracy = 1
Object Index = 81, Result = 0, True Class = 0, Accuracy = 1
Object Index = 82, Result = 9, True Class = 9, Accuracy = 1
Object Index = 83, Result = 1, True Class = 1, Accuracy = 1
Object Index = 84, Result = 5, True Class = 5, Accuracy = 1
Object Index = 85, Result = 1, True Class = 1, Accuracy = 1
Object Index = 86, Result = 2, True Class = 2, Accuracy = 1
Object Index = 87, Result = 0, True Class = 0, Accuracy = 1
Object Index = 88, Result = 8, True Class = 8, Accuracy = 1
