(base) % python dtree.py yeast_training.txt yeast_test.txt forest5
Object Index = 0, Result = 3, True Class = 3, Accuracy = 1
Object Index = 1, Result = 2, True Class = 7, Accuracy = 0
Object Index = 2, Result = 7, True Class = 7, Accuracy = 1
Object Index = 3, Result = 2, True Class = 2, Accuracy = 1
Object Index = 4, Result = 7, True Class = 2, Accuracy = 0
Object Index = 5, Result = 2, True Class = 2, Accuracy = 1
Object Index = 6, Result = 7, True Class = 7, Accuracy = 1
Object Index = 7, Result = 1, True Class = 1, Accuracy = 1
Object Index = 8, Result = 7, True Class = 7, Accuracy = 1
Object Index = 9, Result = 7, True Class = 7, Accuracy = 1
Object Index = 10, Result = 3, True Class = 3, Accuracy = 1
Object Index = 11, Result = 7, True Class = 6, Accuracy = 0
Object Index = 12, Result = 2, True Class = 2, Accuracy = 1
Object Index = 13, Result = 7, True Class = 5, Accuracy = 0
Object Index = 14, Result = 5, True Class = 5, Accuracy = 1
Object Index = 15, Result = 2, True Class = 7, Accuracy = 0
Object Index = 16, Result = 3, True Class = 3, Accuracy = 1
Object Index = 17, Result = 2, True Class = 2, Accuracy = 1
Object Index = 18, Result = 2, True Class = 3, Accuracy = 0
Object Index = 19, Result = 2, True Class = 2, Accuracy = 1
Object Index = 20, Result = 2, True Class = 2, Accuracy = 1
Object Index = 21, Result = 3, True Class = 3, Accuracy = 1
Object Index = 22, Result = 1, True Class = 2, Accuracy = 0
Object Index = 23, Result = 5, True Class = 5, Accuracy = 1
Object Index = 24, Result = 2, True Class = 3, Accuracy = 0
Object Index = 25, Result = 2, True Class = 2, Accuracy = 1
Object Index = 26, Result = 2, True Class = 2, Accuracy = 1
Object Index = 27, Result = 7, True Class = 7, Accuracy = 1
Object Index = 28, Result = 3, True Class = 3, Accuracy = 1
Object Index = 29, Result = 5, True Class = 9, Accuracy = 0
Object Index = 30, Result = 7, True Class = 7, Accuracy = 1
Object Index = 31, Result = 1, True Class = 7, Accuracy = 0
Object Index = 32, Result = 7, True Class = 7, Accuracy = 1
Object Index = 33, Result = 1, True Class = 1, Accuracy = 1
Object Index = 34, Result = 7, True Class = 7, Accuracy = 1
Object Index = 35, Result = 3, True Class = 3, Accuracy = 1
